Section,Category,Poziom,Type,Question,True 1,True 2,True 3,True 4,True 5,False 1,False 2,False 3,False 4,False 5,Zrodlo,Pewnosc
LEKI PRZECIWPSYCHOTYCZNE,Działania niepożądane,lekarski,testowe,Złośliwy zespół neuroleptyczny:,może wystąpić u osób przyjmujących neuroleptyki atypowe,może być przyczyną ilościowych i jakościowych zaburzeń świadomości,,,,cechuje się osłabieniem napięcia mięśniowego i gorączką,o dużym nasileniu może wymagać podania agonistów receptorów dopaminowych,,,,EGZAMIN IWL 21 czerwca 2019,niska
UKŁAD PRZYWSPÓŁCZULNY,Antidotum,lekarski,testowe,Rozszerzenie źrenic (mydriasis) może wystąpić w zatruciu:,Skopolaminą i atropina tez,amfetaminą,doksepiną - tlpd,,,tapentadolem,,,,,EGZAMIN IWL 21 czerwca 2019,wysoka
HORMONY PŁCIOWE,Wskazania,lekarski,testowe,Finasteryd:,jest stosowany w leczeniu łagodnego rozrostu gruczołu krokowego,hamuje łysienie typu męskiego,,,,zwiększa wytwarzanie 5-alfa-dihydrotestosteronu – inhibitor,jest stosowany w leczeniu zaburzeń wzwodu,,,,EGZAMIN IWL 21 czerwca 2019,srednia
UKŁAD PRZYWSPÓŁCZULNY,Antidotum,lekarski,testowe,Zatrucie związkami fosforoorganicznymi może wymagać zastosowania:,pralidoksymu,atropiny,,,,morfiny,diazepamu,,,,EGZAMIN IWL 21 czerwca 2019,srednia
LEKI ROŚLINNE I SUPLEMENTY,Sposób podania,lekarski,testowe,Wskaż prawdziwe stwierdzenia dotyczące suplementacji żelaza:,witamina C poprawia wchłanianie preparatów żelaza z przewodu pokarmowego,w przypadku nietolerancji doustnych preparatów żelaza może dojść do konieczności podawania żelaza dożylnie,suplementacja żelaza jest niezbędna w diecie wegańskiej (wykluczenie spożywania mięsa i innych produktów pochodzenia zwierzęcego),,,żelazo wchłania się lepiej po posiłku,,,,,EGZAMIN IWL 21 czerwca 2019,wysoka
NADCIŚNIENIE TĘTNICZE,Wskazania,lekarski,testowe,Paradoksalny efekt leku został wykorzystany w leczeniu:,nefrogennej moczówki prostej hydrochlorotiazydem,,,,,objawowego bloku przewodzenia przedsionkowo-komorowego izoprenaliną (izoproterenolem),ciężkiej hiperkalcemii furosemidem,hipotonii ortostatycznej midodryną,,,EGZAMIN IWL 21 czerwca 2019,srednia
LEKI PRZECIWHISTAMINOWE,Wskazania,lekarski,testowe,Bilastyna:,ma zastosowanie w leczeniu przewlekłego alergicznego nieżytu nosa,,,,,działa nieselektywnie na rec. H1,przenika w znacznym stopniu przez barierę krew- mózg,"silnie wpływa na aktywność izoenzymów cytochromu P450, dlatego ryzyko jej interakcji z innymi lekami jest duże",,,EGZAMIN IWL 21 czerwca 2019,srednia
CHOROBA NIEDOKRWIENNA SERCA,Mechanizm działania,lekarski,testowe,Kanały potasowe są aktywowane przez:,"Nikorandil jest we wszystkich standardach choroby wieńcowej tylko nie w polsce , agonista kanałów",diazoksyd aktywator kanałów potasowych,,,,glibenklamid,sotalol ANTAGONISTA Sotalol Glibenklamid,,,,EGZAMIN IWL 21 czerwca 2019,niska
NADCIŚNIENIE TĘTNICZE,Mechanizm działania,lekarski,testowe,"Hydralazyna: - NADCIŚNIENIE TETNICZE trochę przeszłość bo teraz się liczą moczopędne z wyboru tiazyd/tiazydopodobne – świetnie przepadane – wazodylatacyjne, a nie dlatego, że woda się wylewa tylko do dopieto po 4 tygodniach . super są antagoniści Ca , krótkodziałające są NIEDOBRE bo wachaja ciśnienie i denerwują baroreceptowy i serce szalaje bo nie wie co ma robić. AMLODYPINA JEST SUPER - mały efekt 1 przejścia, długo działająca dobre T/P LEKI BLOKUJĄCE raa Dziadowo ale trochę beta adrenolityki",stymuluje odruch z baroreceptorów,jest bezpośrednim wazodylatatorem,zmniejsza obciążenie następcze bo jest bezpośrednim wazodylatatorem wiec zmniejsza opór,może prowadzić do polekowego tocznia układowego – tylko 2 leki to powodują PROKAINAMID (arytmie ) i HYDRALAZYNA Rozkurcza naczynia na maxa Stymuluje mega nerkę,,,,,,,EGZAMIN IWL 21 czerwca 2019,wysoka
NIEWYDOLNOŚĆ SERCA,Wskazania,lekarski,testowe,Inhibitory fosfodiesterazy typu 3:,wydłużają dystans marszu bez bólu u pacjentów z chromaniem przestankowym,"mają działanie inotropowe dodatnie leki o działaniu inotropowym dodatnim, ale to ich minus bo milrinon inamrinon cilostazol ich systematyczne stosowanie działa objawowo, aleSKRACA PRZEŻYCIE . 4 LEKI DOKRÓTKIEGO PODAWANIA – tylko cilostazol ma antyagregacyjne i rozszerzające naczynia poszedł do chromania przystankowego ING PDE5 –ANGIOFOSFODIESTERAZA – NACZYNIOWE ODDZIALYWANIA. Zwiększamy cGMP",,,,są skuteczne w leczeniu zaburzeń erekcji,są stosowane długoterminowo w leczeniu niewydolności serca,,,,EGZAMIN IWL 21 czerwca 2019,wysoka
CHOROBA NIEDOKRWIENNA SERCA,Działania niepożądane,lekarski,testowe,Do działań niepożądanych azotanów można zaliczyć:,rozwój tolerancji,bóle głowy – klasyka dla leków rozszerzających,hipotensję ortostatyczną – klasyka dla leków rozszerzających Margines medycyny ale są 3 mega ważne zastosowanie,,,"nasilenie deficytu tlenowego mięśnia sercowego w stabilnej chorobie wieńcowej – właśnie je stosujemy w tej chorobie i to jest totalnie na odwrót – zmniejszają deficyt tlenowy jak wszystkie leki, które są objawowo w bólach wieńcowych",,,,,EGZAMIN IWL 21 czerwca 2019,srednia
ZABURZENIA RYTMU SERCA,Wskazania,lekarski,testowe,"U pacjentów z zespołem preekscytacji (Wolfa-Parkinsona-White’a, w którym występują dodatkowe patologiczne drogi przewodzenia przedsionkowo￾komorowego) w profilaktyce tachyarytmii przeciwwskazane jest stosowanie:",werapamilu,,,,,"Amiodaronu III klasa – ma cechy antagonisty wapniowego , to jest dirty drug ale można",sotalolu – III klasa,flekainidu – Ib,,,EGZAMIN IWL 21 czerwca 2019,wysoka
CHOROBA NIEDOKRWIENNA SERCA,Działania niepożądane,lekarski,testowe,Beta-adrenolityki w chorobie niedokrwiennej serca: - typowa choroba z deficytem,podnoszą próg migotania komór przez zapobieganie proarytmicznemu działaniu katecholamin taaak ! bardzo prawdziwe i dobre -PODNOSZĄPRÓGMIGOTANIA KOMÓR bo zmniejszają wpływ amin katecholowoychBATOMOTROPOWO UJEMNIE = ANTYARTYMICZNIE,"działają chronotropowo ujemnie, przez co zmniejszają zapotrzebowanie mięśnia sercowego na tlen –ŚWIĘTA PRAWDA – zwalnia rozrusznik przez to wolniej bije serce","w prewencji wtórnej po zawale mięśnia sercowego powinny być kardioselektywne, lipofilne i pozbawione wewnętrznej aktywności sympatykomimetycznej",,,"zmniejszają wartości ciśnienia tętniczego, co powoduje spadek przepływu przez tętnice wieńcowe – to by było niedobrze, jakbyśmy indukowali spadek przez tetnice wieńcowe, ale prawda jest, że zmniejszają wartości się ciśnienia. Ok czasem się zdarz, że jest tak małe ciśnienei, że zawał ale zwykle wieńcówka się samoreguluje",,,,,EGZAMIN IWL 21 czerwca 2019,srednia
LEKI MOCZOPĘDNE,Działania niepożądane,lekarski,testowe,Wskaż prawdziwe stwierdzenie dotyczące digoksyny: - NIE FAJNY LEK / ZMARGILIZOWANY,powoduje bloki przewodzenia przedsionkowo-komorowego -chrono i dromotropowo ujemnie zwalnia przewodzenie przedsionkowo komorowe,"jest coraz rzadziej stosowana w celu kontroli częstotliwości rytmu komór u chorych z migotaniem przedsionków - w spoczynku jest ok, ale jak pacjent się zaczyna ruszać to pojawia się niekontrolowana szybkość częstoś komór",,,,hamuje układ przywspółczulny – PROMUJE PRZYWSPÓŁCZULNY,hiperkaliemia zwiększa toksyczność digoksyny – blokuje atpaze sodowo potasową łaczy się z nia tam gdzie łączy się potas. HIPOKALIEMIA usposabnia do toksyczności,,,,EGZAMIN IWL 21 czerwca 2019,srednia
ZABURZENIA RYTMU SERCA,Działania niepożądane,lekarski,testowe,Jaki lek powoduje bradykardię zatokową i wydłużenie odstępu QTc?,Sotalol – wszystkie leki klasy I powodują bradykardie,Amiodaron – III klasa partymicznych – bradykardia Wszystkie antyartymiczne powodują bradykardie Tylko III klasa antyarytmicznych powoduje wydluzenie QT,,,,Lidokaina – bradykardia,Esmolol – wszystkie beta- adrenolityki powodują bradykardie,,,,EGZAMIN IWL 21 czerwca 2019,wysoka
NIEWYDOLNOŚĆ SERCA,Działania niepożądane,lekarski,testowe,Korzystny wpływ na przeżycie ma:,Apiksaban NOAC w napadowym migotaniu przedsionków,atorwastatyna w stabilnej chorobie wieńcowej,"milrynon w przewlekłej niewydolności serca z upośledzoną frakcją wyrzutową – niepożądane jest działanie inotropowe dodatnie wiec one szkodzą. Tutaj blok RAA i beta adrenolityki POŁĄCZONE ZE SOBĄ , oferują komfort funkcjonowania źle bijącemu sercuKORZYSTNY WPŁYW NA PRZEŻYCIE ! 45 min Gks – astma Statyny – miażdżyca | atorwa – chore nerki / rosuwa – chora wątroba Blok RAA z beta adrenolitykami – Niewydolnośc serca Antagoniści dla receptora dla aldosteronu – eplerenon > spironolakton – Niewydolnośc serca Klopidogrel / asa NIE SĄ TAK DOBRE",,,flekainid w arytmiach komorowych po zawale serca,,,,,EGZAMIN IWL 21 czerwca 2019,wysoka
FARMAKOKINETYKA,Farmakokinetyka,lekarski,testowe,"Po dożylnym podaniu 600 mg leku oznaczone stężenie początkowe (C0) leku we krwi wynosi 3 mg/l, zatem prawdą jest, że:",objętość dystrybucji wynosi Vd = 200 l to stężenie podane podzielone przez stężenie leku we krwi,"lek występuje we krwi, płynie zewnątrz- i wewnątrzkomórkowym – wiadomo, bo dużo leku itp. I musi się gdzieś rozchodzić",lek rozmieszcza się w kompartmencie głębokim,,,lek występuje w płynie mózgowo- rdzeniowym,,,,,EGZAMIN IWL 21 czerwca 2019,niska
NADCIŚNIENIE TĘTNICZE,Klasyfikacja,lekarski,testowe,"Wskaż które połączenia lekowe stanowią zagrożenie życia, a zatem są bezwzględne przeciwskazane?",ramipryl i sakubitryl,diazotan izosorbidu i wardenafil AZOTANY IANTAGONIŚCI WAPNIA BO MEGA HIPOTONIA,,,,kwas acetylosalicylowy i tykagrelor ASA + P2Y12 koniecznie łączymy !,"dobutamina i noradrenalina – doskonałe połączenie nawzajem się uzupełniają jak pacjentowi pada kardiogennie i ma ciśnienie niskie skurczowe poniżej 100 to trzeba wspomóc serce dobutaminą która jest mega lepsze niż dopamina, ona dodatkowo rozkurcza naczynia płucne.DOBUTAMINA LEPSZA OD DOPAMINY, ale ciśnienie jest przeszkoda bo ona rozkurcza naczynia bo działa na rec B2, to może zrobić kwas wiec jest potrzebnaNORADRENALINA LEPSZA OD ADRENALINY !",,,,EGZAMIN IWL 21 czerwca 2019,srednia
LEKI PRZECIWBAKTERYJNE,Działania niepożądane,lekarski,testowe,Oktenidyna: - Środek odkażający,działa bakteriobójczo w stosunku do MRSA – nadaje się do warunków szpitalnych,"może być stosowana na błony śluzowe – jasne, że mogła Skóra nie uszkodzona ! – alkohole 70% Skóra uszkodzona – związki nie działające probólowo i nie zaburzają gojenia się rany ( czyli nie dajemy cytotoksycznych ) nie mogą mieć systemowych działań, bo z rany się wchłoną .MAŁY WYBÓR NA RANE Kiedyś do 09.19r był o Jodopowidon – nowoczesny preparat jodowy, ale zabarwiał na żółto wiec, źle oceniało się rane",,,,nie nadaje się do stosowania u dzieci poniżej 3 roku życia – można,powoduje zmianę zabarwienia tkanek,,,,EGZAMIN IWL 21 czerwca 2019,srednia
ZABURZENIA RYTMU SERCA,Wskazania,lekarski,testowe,Bezwzględnym przeciwwskazaniem do podania beta-adrenolityków jest:,"objawowa hipotensja Na maksa przeciwskazania - sytuacja z astmą jest do wyjaśnienia -nebiwolol hybryda z rozkurczającym oskrzela wazodylatacyjny -BRADYKARDIAOBJAWOWA -CHOROBA RAYNO – w żadnej naczynioskurczowej, np. w chorobie wieńcowej zależnej od skurczu! -BLOK PRZEWODZENIA II STOPNIA – typu Mobitz Jeżeli pacjent ma stymulator to może dostawac nawet z blokami przewodzenia i bradykardią",,,,,migotanie przedsionków z szybką czynnością komór – to wskazanie,przewlekła obturacyjna choroba płucna – to absolutnie nie jest przeciwskazanie,nadczynność tarczycy – leczymy nimi,,,EGZAMIN IWL 21 czerwca 2019,srednia
UKŁAD WSPÓŁCZULNY,Antidotum,lekarski,testowe,Wskaż prawdziwe zestawienie lek – efekt działania:,propranolol - upośledzenie konwersji obwodowej lewotyroksyny,celiprolol – możliwość maskowania objawów hipoglikemii,metoprolol – możliwość zmniejszenia terapeutycznego działania adrenaliny Przedawkowanie beta adrenolityków – podajemy glukagon !,,,nebiwolol - zmniejszenie uwalniania endogennego tlenku azotu,,,,,EGZAMIN IWL 21 czerwca 2019,wysoka
BÓLE GŁOWY,Wskazania,lekarski,testowe,W leczeniu migrenowych bólów głowy:,sumatryptan po podaniu podskórnym zaczyna działać po 10 minutach,w profilaktyce migreny można zastosować kwas walproinowy,"naratryptan działa wolniej od sumatryptanu, ale jego zastosowanie związane jest z mniejszym ryzykiem nawrotu bólu",,,zwiększone ryzyko wystąpienia bólów głowy z nadużywania leków jest związane z przyjmowaniem tryptanów częściej niż 3 razy w miesiącu,,,,,EGZAMIN IWL 21 czerwca 2019,wysoka
NADCIŚNIENIE TĘTNICZE,Wskazania,lekarski,testowe,Wskaż prawdziwe zestawienie lek – wskazanie: - alfa adrenolityki,urapidyl – przełom nadciśnieniowy,doksazosyna – rozrost gruczołu krokowego,,,,tamsulozyna – łagodne nadciśnienie tętnicze – kłamsto i oszustro jest uroselektywna i idealna do rozrostu gruczołu krokowego – mieśnie wypieracza pęcherza moczowego zmniejsza problemy z mikcją,alfuzosyna – naglące nietrzymanie moczu,,,,EGZAMIN IWL 21 czerwca 2019,wysoka
LEKI PRZECIWWIRUSOWE,Mechanizm działania,lekarski,testowe,Wskaż prawdziwe stwierdzenia dotyczące inhibitorów konwertazy angiotensyny:,mogą spowodować ostrą niewydolność nerek ze względu na zaburzenie filtracji kłębuszkowej,nie powinny być stosowane jeśli u pacjenta rozpoznano obrzęk naczyniopochodny,wykazują działanie nefroprotekcyjne poprzez zmniejszenie ciśnienia w kłębuszkach nerkowych NIE ODSTAWIAMY ICH W COVID !,,,w razie wywołania kaszlu powinny być łączone z dekstrometorfanem,,,,,EGZAMIN IWL 21 czerwca 2019,niska
GLIKOKORTYKOSTEROIDY,Klasyfikacja,lekarski,testowe,Glikokortykosteroidy o długim czasie działania to:,betametazon,deksametazon,,,,hydrokortyzon,prednizon,,,,EGZAMIN IWL,wysoka
LEKI IMMUNOSUPRESYJNE,Mechanizm działania,lekarski,testowe,Wskaż prawidłowe połączenie lek-mechanizm działania immunosupresyjnego:,leflunomid – hamuje syntezę pirymidyny,mykofenolan mofetylu – hamuje syntezę puryn de novo,,,,cyklosporyna – hamuje kinazę serynowo-treoninową (mTOR),sirolimus – tworzy kompleks z cyklofiliną i hamuje kalcyneurynę,,,,EGZAMIN IWL,wysoka
LEKI PRZECIWBAKTERYJNE,Wskazania,lekarski,testowe,Stosowanie których leków jest związane z ryzykiem wzrostu stężenia kwasu moczowego w surowicy:,doksorubicyny,furosemidu,etambutolu,,,losartanu,W leczeniu zależności nikotynowej wskazane są:,,,,EGZAMIN IWL,niska
CHOROBA PARKINSONA,Wskazania,lekarski,testowe,Złośliwy zespół neuroleptyczny:,w leczeniu stosuje się bromokryptynę,,,,,występuje tylko przy stosowaniu klasycznych leków przeciwpsychotycznych,charakteryzuje się występowaniem hipotermii,nie wymaga odstawiania stosowanych leków przeciwpsychotycznych,,,EGZAMIN IWL,niska
LEKI PRZECIWPSYCHOTYCZNE,Działania niepożądane,lekarski,testowe,Olanzapina:,powoduje przyrost masy ciała,może być stosowana jako lek stabilizujący nastrój,"ma silne działanie hipotensyjne a – prawidłowe 1, 3 i 4 b – prawidłowe 1 i 3 c – prawidłowe 2 i 4 d – prawidłowa 4 e – wszystkie prawidłowe",,,równie często jak klasyczne neuroleptyki powoduje zaburzenia układu pozapiramidowego,,,,,EGZAMIN IWL,wysoka
UKŁAD POKARMOWY,Wskazania,lekarski,testowe,Preparaty zawierające pankreatynę stosuje się w:,przewlekłym zapaleniu trzustki,leczeniu mukowiscydozy z zajęciem trzustki,po resekcji trzustki,,,leczeniu otyłości skojarzonej z insulinoopornością,,,,,EGZAMIN IWL,srednia
UKŁAD POKARMOWY,Wskazania,lekarski,testowe,Leczenie objawowe w ostrej biegunce może obejmować:,dietę kleikową,nawodnienie doustne z zastosowaniem doustnych preparatów nawadniających,"nawodnienie dożylne 0,9% NaCl",,,stosowanie leków hamujących perystaltykę jelit,,,,,EGZAMIN IWL,niska
UKŁAD POKARMOWY,Działania niepożądane,lekarski,testowe,Papaweryna:,podana dożylnie może powodować spadek ciśnienia krwi,podana dożylnie może powodować zaburzenia rytmu serca,powoduje rozkurcz mięśniówki gładkiej przewodu pokarmowego,powoduje rozkurcz mięśniówki gładkiej dróg żółciowych,,,,,,,EGZAMIN IWL,niska
UKŁAD PRZYWSPÓŁCZULNY,Klasyfikacja,lekarski,testowe,Spazmolitykiem bezpośrednim jest:,drotaweryna,alweryna,,,,solifenacyna,metoklopramid,,,,EGZAMIN IWL,niska
LEKI PRZECIWBAKTERYJNE,Wskazania,lekarski,testowe,W leczeniu rzekomobłoniastego zapalenia jelita grubego celowe jest zastosowanie:,metronidazolu,wankomycyny,,,,erytromycyny,Sacharomyces boulardi,,,,EGZAMIN IWL,wysoka
LEKI PRZECIWBAKTERYJNE,Wskazania,lekarski,testowe,W leczeniu eradykacyjnym Helicobacter pylori obowiązują schematy:,"omeprazol, amoksycylina, metronidazol","pantoprazol, metronidazol, amoksycylina, tetracyklina",,,,"lanzoprazol, ampicylina, wankomycyna","omeprazol, amoksycylina, klindamycyna a – prawidłowe 1, 3 i 4 b – prawidłowe 1 i 3 c – prawidłowe 2 i 4 d – prawidłowa 4 e – wszystkie prawidłowe",,,,EGZAMIN IWL,wysoka
UKŁAD POKARMOWY,Działania niepożądane,lekarski,testowe,Mizoprostol:,przyspiesza regenerację błony śluzowej żołądka po zastosowaniu niesteroidowych leków przeciwzapalnych,jest przeciwwskazany u kobiet w ciąży z powodu ryzyka poronienia,powoduje biegunkę,,,powoduje ginekomastię,,,,,EGZAMIN IWL,srednia
LEKI PRZECIWBAKTERYJNE,Mechanizm działania,lekarski,testowe,Erytromycyna:,jest metabolizowana z udziałem enzymów cytochromu P-450,bezpośrednio stymuluje motorykę przewodu pokarmowego,,,,jest oporna na działanie soku żołądkowego,osiąga wysokie stężenie wewnątrzkomórkowe,,,,EGZAMIN IWL,niska
LEKI PRZECIWBAKTERYJNE,Klasyfikacja,lekarski,testowe,Azytromycyna wykazuje aktywność w stosunku do:,Mycoplasma pneumoniae,Haemophilusinfluenzae,Chlamydia pneumophila,Borrelia burgdorferi,,,,,,,EGZAMIN IWL,wysoka
LEKI PRZECIWBAKTERYJNE,Wskazania,lekarski,testowe,W leczeniu zakażeń wywołanych szczepami Staphylococcus aureus opornymi na metycylinę (MRSA ) celowe jest zastosowanie:,wankomycyny,linezolidu,,,,cyprofloksacyny,"imipenemu a – prawidłowe 1, 3 i 4 b – prawidłowe 1 i 3 c – prawidłowe 2 i 4 d – prawidłowa 4 e – wszystkie prawidłowe",,,,EGZAMIN IWL,wysoka
LEKI PRZECIWBAKTERYJNE,Wskazania,lekarski,testowe,Lewofloksacyna jest skuteczna w zakażeniach o etiologii:,Streptococcus pneumoniae,Legionella pneumophila,,,,Bacteroides fragilis,Clostridium difficile,,,,EGZAMIN IWL,wysoka
LEKI PRZECIWBAKTERYJNE,Wskazania,lekarski,testowe,W leczeniu zapalenia opon mózgowo-rdzeniowych celowe jest zastosowanie:,ceftriaksonu,cefotaksymu,,,,cefoperazonu,cefazoliny,,,,EGZAMIN IWL,wysoka
LEKI PRZECIWBAKTERYJNE,Wskazania,lekarski,testowe,Mupirocyna:,jest stosowana w postaci maści,hamuje syntetazę izoleucynową t-RNA,nie wykazuje oporności krzyżowej z innymi dostępnymi antybiotykami,jest stosowana w liszaju wywołanym gronkowcem złocistym,,,,,,,EGZAMIN IWL,wysoka
LEKI PRZECIWBAKTERYJNE,Wskazania,lekarski,testowe,Fenoksymetylpenicylina jest wskazana w leczeniu:,anginy paciorkowcowej,,,,,przewlekłego zapalenia zatok,zapalenia płuc o etiologii Mycoplasma pneumoniae,zapalenia ucha środkowego,,,EGZAMIN IWL,wysoka
LEKI PRZECIWWIRUSOWE,Przeciwwskazania,lekarski,testowe,Filgrastim:,"może zwiększać ryzyko pęknięcia śledziony a – prawidłowe 1, 3 i 4 b – prawidłowe 1 i 3 c – prawidłowe 2 i 4 d – prawidłowa 4 e – wszystkie prawidłowe",,,,,stymuluje wzrost płytek krwi,jest stosowany doustnie,jest przeciwwskazany u pacjentów z HIV,,,EGZAMIN IWL,niska
LEKI PRZECIWGRZYBICZE,Działania niepożądane,lekarski,testowe,Posakonazol:,jest aktywny wobec Candida,hamuje biosyntezę ergosterolu,może być przyczyną uszkodzenia wątroby,,,ma wysoką biodostępność po podaniu doustnym,,,,,EGZAMIN IWL,niska
LEKI PRZECIWWIRUSOWE,Wskazania,lekarski,testowe,Acyklowir:,jest używany w leczeniu półpaśca,może powodować upośledzenie czynności nerek,,,,nie może być podawany dożylnie,stosuje się go w terapii grypy,,,,EGZAMIN IWL,srednia
LEKI PRZECIWWIRUSOWE,Wskazania,lekarski,testowe,W leczeniu przewlekłego wirusowego zapalenia wątroby typu C można zastosować:,interferon alfa,rybawirynę,telaprewir,,,boceprewir,,,,,EGZAMIN IWL,wysoka
CUKRZYCA,Wskazania,lekarski,testowe,Glibenklamid:,hamuje kanały potasowe zależne od ATP w komórkach beta trzustki,może powodować hipoglikemię,może być stosowany w skojarzeniu z insuliną,,,jest lekiem pierwszego rzutu w leczeniu cukrzycy typu 2 chroniącym przed powikłaniami makroangiopatycznymi,,,,,EGZAMIN IWL,wysoka
CUKRZYCA,Klasyfikacja,lekarski,testowe,Który z wymienionych poniżej leków przeciwcukrzycowych stymuluje wydzielanie insuliny:,repaglinid,gliklazyd,,,,metformina,kanagliflozyna,,,,EGZAMIN IWL,wysoka
TARCZYCA,Monitorowanie,lekarski,testowe,Lewotyroksyna:,jest lekiem z wyboru w niedoczynności tarczycy,w trakcie jej podawania obowiązkowe jest monitorowanie stężenia TSH,,,,odpowiada ona naturalnemu hormonowi T3,nasila działanie acenokumarolu,,,,EGZAMIN IWL,srednia
UKŁAD POKARMOWY,Działania niepożądane,lekarski,testowe,Działaniem niepożądanym tiamazolu jest/są:,wysypka plamisto-grudkowa,bóle stawów,zaburzenia czynności wątroby,"agranulocytoza a – prawidłowe 1, 3 i 4 b – prawidłowe 1 i 3 c – prawidłowe 2 i 4 d – prawidłowa 4 e – wszystkie prawidłowe",,,,,,,EGZAMIN IWL,niska
NADCIŚNIENIE TĘTNICZE,Działania niepożądane,lekarski,testowe,Działaniem niepożądanym progestagenów jest:,wzrost ciśnienia tętniczego,depresja,hirsutyzm,zaburzenia libido,,,,,,,EGZAMIN IWL,niska
LEKI PRZECIWNOWOTWOROWE,Działania niepożądane,lekarski,testowe,Tamoksyfen:,to selektywny modulator receptora estrogenowego,jest wskazany w leczeniu raka sutka,,,,zwiększa ryzyko zakrzepicy żylnej,powoduje uderzenia gorąca,,,,EGZAMIN IWL,niska
HORMONY PŁCIOWE,Działania niepożądane,lekarski,testowe,Działaniem niepożądanym steroidów anabolicznych jest:,żółtaczka cholestatyczna,pęknięcie ścięgna,bezpłodność,maskulinizacja u kobiet,,,,,,,EGZAMIN IWL,srednia
HORMONY PŁCIOWE,Wskazania,lekarski,testowe,Finasteryd:,zmniejsza wytwarzanie dihydrotestosteronu,jest stosowany w leczeniu łagodnego rozrostu gruczołu krokowego,może powodować ginekomastię,,,jest stosowany w leczeniu zaburzeń wzwodu,,,,,EGZAMIN IWL,srednia
HORMONY PŁCIOWE,Wskazania,lekarski,testowe,W leczeniu łysienia androgenowego u mężczyzn celowe jest zastosowanie:,minoksydylu,,,,,etynyloestradiolu,klobetazolu,tamsulozyny,,,EGZAMIN IWL,niska
NADCIŚNIENIE TĘTNICZE,Wskazania,lekarski,testowe,Niesteroidowe leki przeciwzapalne:,zmniejszają skuteczność hipotensyjną beta-adrenolityków,mogą być przyczyną zaostrzenia niewydolności serca,mogą powodować zaostrzenie objawów astmy,"u noworodków ułatwiają zamknięcie przetrwałego przewodu tętniczego (Botalla) a – prawidłowe 1, 3 i 4 b – prawidłowe 1 i 3 c – prawidłowe 2 i 4 d – prawidłowa 4 e – wszystkie prawidłowe",,,,,,,EGZAMIN IWL,niska
NIEOPIOIDOWE LEKI PRZECIWBÓLOWE,Wskazania,lekarski,testowe,Wskaż prawidłowe połączenie leku i jego zastosowania:,kwas acetylosalicylowy - profilaktyka wtórna zawału serca,ibuprofen - bolesne miesiączkowanie,,,,kwas acetylosalicylowy - gorączka w grypie u 4-letniego dziecka,paracetamol - ból głowy po nadużyciu etanolu,,,,EGZAMIN IWL,wysoka
ZNIECZULENIA MIEJSCOWE,Klasyfikacja,lekarski,testowe,Do leków działających miejscowo przeciwbólowo należy/ą:,kapsaicyna,lidokaina,,,,propofol,izofluran,,,,EGZAMIN IWL,srednia
UKŁAD PRZYWSPÓŁCZULNY,Wskazania,lekarski,testowe,W kolce nerkowej uzasadnione jest podanie:,butylobromku skopolaminy doodbytniczo,,,,,metamizolu dożylnie,papaweryny doustnie,oksyfenonium doustnie,,,EGZAMIN IWL,niska
NARKOTYCZNE LEKI PRZECIWBÓLOWE,Wskazania,lekarski,testowe,Ból przebijający można skutecznie opanować stosując lek opioidowy w postaci:,podskórnej,systemu transdermalnego (TTS),podjęzykowej,doustnej o natychmiastowym uwalnianiu,,,,,,,EGZAMIN IWL,srednia
UKŁAD POKARMOWY,Klasyfikacja,lekarski,testowe,Objawy zespołu abstynencyjnego w przebiegu uzależnienia od opioidów to:,ziewanie,biegunka,"piloerekcja („gęsia skóra”) a – prawidłowe 1, 3 i 4 b – prawidłowe 1 i 3 c – prawidłowe 2 i 4 d – prawidłowa 4 e – wszystkie prawidłowe",,,senność,,,,,EGZAMIN IWL,niska
NADCIŚNIENIE TĘTNICZE,Wskazania,lekarski,testowe,Klonidyna:,jest agonistą receptora alfa-2 adrenergicznego,działa hipotensyjnie,,,,jest przeciwwskazana w leczeniu spastyczności,jest stosowana w terapii choroby afektywnej jednobiegunowej,,,,EGZAMIN IWL,srednia
UKŁAD WSPÓŁCZULNY,Mechanizm działania,lekarski,testowe,Receptory beta-adrenergiczne aktywuje:,dopamina,efedryna,indakaterol,,,moksonidyna,,,,,EGZAMIN IWL,wysoka
UKŁAD WSPÓŁCZULNY,Mechanizm działania,lekarski,testowe,Receptory alfa-1 adrenergiczne blokuje:,labetalol,haloperydol,doksazosyna,,,nafazolina,,,,,EGZAMIN IWL,wysoka
UKŁAD WSPÓŁCZULNY,Klasyfikacja,lekarski,testowe,Długotrwałe stosowanie którego leku/ów wymaga wolnego odstawiania:,atenololu,fluoksetyny,prednizonu,,,paracetamolu,,,,,EGZAMIN IWL,niska
UKŁAD WSPÓŁCZULNY,Działania niepożądane,lekarski,testowe,Działaniem niepożądanym antagonistów receptora beta-adrenergicznego jest:,bradykardia,bloki przewodzenia przedsionkowo-komorowego,,,,wzrost ciśnienia śródgałkowego,zakrzepowe zapalenie żył,,,,EGZAMIN IWL,srednia
STANY NAGŁE,Wskazania,lekarski,testowe,Adrenalina znalazła zastosowanie:,w terapii wstrząsu anafilaktycznego,w resuscytacji krążeniowo-oddechowej bez względu na mechanizm zatrzymania krążenia,jako dodatek do leków miejscowo znieczulających,,,w terapii arytmii nadkomorowych,,,,,EGZAMIN IWL,wysoka
